"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Asah1",1.52229922793369e-08,0.579331184714921,0.423,0.51,0.000254041295157574
"Arl4c",3.20124061808111e-13,0.575330826037012,0.358,0.363,5.34223034345375e-09
"Tmem63b",9.04852847474233e-13,0.575227084309466,0.307,0.321,1.510018431865e-08
"Wasf2",8.40186008086134e-21,0.573120435840564,0.257,0.207,1.40210241029414e-16
"Luc7l2",1.16977056646907e-07,0.567281585009086,0.52,0.633,0.00195211312132359
"Prkcz",4.41401860389083e-14,0.566587270486788,0.27,0.261,7.36611424617302e-10
"Capns1",1.22606359348966e-06,0.561129284167228,0.559,0.694,0.0204605492481555
"Npnt",7.79509159046129e-13,0.561085370152525,0.319,0.307,1.30084488461618e-08
"Rnf10",4.86124109356151e-13,0.560945830971328,0.351,0.355,8.11243913693545e-09
"Rtn4",1.68355196095287e-14,0.554432071772075,0.34,0.333,2.80951151243815e-10
"Pura",4.50448304480081e-08,0.550772640765113,0.369,0.437,0.000751708130516359
"Traf1",1.01945538534246e-12,0.549334649750231,0.291,0.284,1.7012671470595e-08
"Smpdl3a",1.73486474536739e-13,0.545100380037159,0.286,0.279,2.89514228706911e-09
"Atpif1",5.94048380280734e-05,0.544337599853927,0.698,0.825,0.991347937012488
"Rbm25",5.32602890712447e-07,0.540999819959147,0.44,0.525,0.00888807704020932
"Bola2",3.42803826598614e-09,0.539938870947707,0.31,0.334,5.72071025827766e-05
"Rbms1",3.00425745854346e-07,0.53824571859507,0.412,0.492,0.00501350484681733
"Park7",0.000415901464004716,0.538239291585902,0.6,0.758,1
"Anxa4",5.30036415914239e-06,0.538004067327506,0.489,0.612,0.0884524770877681
"Svil",3.91042022826478e-13,0.535749737937845,0.266,0.255,6.52570927692827e-09
"S100a16",1.25455195599183e-13,0.533972837084823,0.327,0.331,2.09359630415916e-09
"Pfn1",3.90418573224626e-06,0.532684077121209,0.81,0.92,0.0651530514997256
"Ppic",0.00323133605589425,0.531764971866898,0.52,0.68,1
"Eva1b",8.41349884604621e-09,0.521215533120652,0.289,0.337,0.000140404468742819
"Efna1",2.61167160876973e-07,0.520890103230915,0.338,0.39,0.00435835758071493
"Plp2",3.51482871772985e-10,0.520177246311932,0.346,0.378,5.86554616414757e-06
"Ptov1",1.63641583085713e-05,0.518832460648215,0.456,0.574,0.273085073853438
"Dync1i2",6.15419369044607e-13,0.517683506699028,0.283,0.27,1.02701184306164e-08
"Fus",2.19083184054816e-05,0.517630998159746,0.515,0.652,0.365606017550677
"Sh2d4a",1.34503760677972e-13,0.515290865144501,0.261,0.247,2.244598758194e-09
"Ralbp1",6.38790106690024e-06,0.511555529847947,0.477,0.592,0.106601293004431
"Stard3",4.29164707104994e-11,0.511480536450327,0.271,0.275,7.16190063216814e-07
"Mrpl33",0.000100170860611161,0.508786884899314,0.502,0.616,1
"Eno1",1.36620900556034e-11,0.507489325389662,0.283,0.277,2.2799295884791e-07
"Arrdc1",8.41509770112649e-07,0.503186343719715,0.317,0.384,0.0140431150436399
"Fam177a",2.44622912300226e-06,0.501714656491402,0.381,0.463,0.0408226716046618
